estimator,portfolio,regime,vaR95,es95,violation_rate,realised_es
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,crisis,,,0.0,
overlay,mv,crisis,,,0.0,
baseline,ew,crisis,,,0.0,
baseline,mv,crisis,,,0.0,
sample,ew,crisis,,,0.0,
sample,mv,crisis,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
overlay,ew,full,,,0.0,
overlay,mv,full,,,0.0,
baseline,ew,full,,,0.0,
baseline,mv,full,,,0.0,
sample,ew,full,,,0.0,
sample,mv,full,,,0.0,
